Year,Subject,Chapter,Level,Category,Stem,Stem Image,Question_A,Question_B,Question_C,Question_D,Ans_A,Ans_B,Ans_C,Ans_D
2025,Agriculture 1st Paper,Sources of Agricultural Information and Services,Dhaka,Board,"Observe the following table and answer the questions:


'X' Agricultural Field: Usually cultivated in small land and requires intensive care of crops.


'Y' Agricultural Field: Activities are conducted with the participation of everyone in the community and the produced goods are distributed according to the agreement.","""C:\Users\BMTF\.antigravity\testpaper\Agri1_Ch_Cq_Image\agri1_Ch1_CQ1.png""",What is a grain crop?,Why are field crops important for Bangladesh? Explain.,Explain the agricultural field marked 'X' in the stem.,Analyze the importance of the 'Y' field of the stem in the socio-economic development of Bangladesh.,"Crops that belong to the Poaceae (Gramineae) family and are cultivated for their edible starchy seeds are called grain crops. Examples include rice, wheat, maize, etc.","Field crops are vital for Bangladesh because they ensure food security for the massive population. They provide the staple food (carbohydrates) and serve as a major source of income for farmers.


Additionally, many field crops like jute and sugarcane act as primary raw materials for industries and contribute significantly to the national GDP through exports. They also provide fodder for livestock.","The agricultural field marked 'X' in the stem refers to Horticultural Crops. Horticulture is the branch of agriculture that deals with the intensive cultivation of fruits, vegetables, flowers, spices, and plantation crops.


Key characteristics matching the stem include:

1. Cultivation in small land areas (like kitchen gardens or specialized plots).

2. Requirement for intensive care, including individual plant attention, frequent irrigation, and protection.

3. High perishability, requiring quick marketing or processing. In the context of Bangladesh, this includes winter vegetables and seasonal fruits.","The field marked 'Y' refers to Cooperative Farming. Its importance in the socio-economic development of Bangladesh is immense:


1. Resource Pooling: It allows small and marginal farmers to combine their fragmented land, capital, and labor to use modern machinery (tractors, power pumps) that they couldn't afford individually.


2. Increased Productivity: Collective management and the application of scientific methods lead to higher yields compared to individual traditional farming.


3. Elimination of Middlemen: Farmers can market their products directly as a group, ensuring better prices and profit distribution according to the agreement.


4. Poverty Alleviation: By reducing production costs and increasing income, it improves the living standards of the rural community, fostering social unity and financial stability."
2025,Agriculture 1st Paper,Agriculture Information and Services,Dhaka Board,Board,"Rashed is a rice farmer. He is a pioneer farmer. He is well-aware of the latest agricultural information. Other farmers in the area easily obtain agriculture-related information from him. At the beginning of the season, a club house near his home was selected as a center for season-long training on rice cultivation under the supervision of the Department of Agricultural Extension. In that center, 50 male and female farmers of the area are given hands-on training on rice cultivation throughout the season.",NA,What is 'e-Agriculture'?,Explain the necessity of agricultural education in Bangladesh.,To which source of obtaining agricultural information and services does Rashed in the stem belong? Explain.,How can farmers get agricultural information and services from the center mentioned in the stem? Analyze.,"e-Agriculture is a service through which agricultural information and services are delivered to farmers using electronic media and information technology (such as mobile phones, the internet, or radio).","Agricultural education is essential for transforming traditional farming into a modern, scientific, and profitable sector. Since Bangladesh is an ivory-tower agrarian economy, the majority of the population depends on it, making scientific knowledge crucial for food security.


Through agricultural education, farmers learn about high-yielding varieties, modern irrigation, integrated pest management, and the proper use of fertilizers. This education helps in climate adaptation and ensures the sustainable use of land, ultimately improving the socio-economic condition of the country.","Rashed, mentioned in the stem, belongs to the ""Pioneer Farmer"" (Agragami Krishak) source of obtaining agricultural information and services. Pioneer farmers act as local leaders and reliable primary sources of information for their peers.


In the stem, it is mentioned that Rashed is well-versed in the latest agricultural news and other local farmers easily seek advice from him. This is a classic characteristic of an advanced or pioneer farmer who adopts new technologies first and then disseminates that knowledge to the community through informal discussions.


Such farmers bridge the gap between agricultural scientists and general farmers. Because they are local residents, other farmers trust their practical success more than theoretical advice, making Rashed an effective informal extension agent in his locality.","The center mentioned in the stem refers to the Farmers' Field School (FFS), organized by the Department of Agricultural Extension (DAE). Farmers can obtain information and services from this center through a systematic, hands-on learning approach throughout the cropping season.


Firstly, Practical Training: Unlike classroom learning, farmers here learn ""by doing."" In this center, 50 farmers are trained directly in the field, allowing them to identify pests, diseases, and nutrient deficiencies in real-time. This helps them make informed decisions for their own plots.


Secondly, Group Discussion and Problem Solving: The center serves as a hub for ""Farmer-to-Farmer"" communication. Farmers share their experiences and challenges, and under the guidance of sub-assistant agriculture officers, they find scientific solutions collectively. This builds their confidence and leadership skills.


Thirdly, Observation and Analysis: Farmers are taught to use the ""Agro-Ecosystem Analysis"" (AESA) method. They regularly visit the field, observe the condition of the soil and crops, and decide whether a particular intervention (like pesticide application) is actually necessary, which reduces production costs.


Lastly, Technology Demonstration: The center acts as a demonstration site for the latest rice cultivation technologies. By seeing the success of modern methods at the center, farmers are encouraged to adopt these practices in their own fields, leading to increased productivity and sustainable agricultural development in the region."
2025,Agriculture 1st Paper,Scope and Importance of Agriculture,Chittagong Board,Board,Observe the images below and answer the questions. [Image-1: Jute field; Image-2: Eggplant/Brinjal plant],"""C:\Users\BMTF\.antigravity\testpaper\Agri1_Ch_Cq_Image\agri1_Ch1_CQ3.png""",What is agriculture?,Why is a courtyard meeting (Uthan Boithok) necessary for farmers? Explain.,Which sector does the crop shown in Figure-2 represent? Explain.,Analyze the economic importance of Figure-1 in the context of Bangladesh.,"Agriculture is a primary production sector that involves the systematic cultivation of land for the production of crops, livestock, fisheries, and forestry to meet human needs.","A courtyard meeting (Uthan Boithok) is an informal but effective extension method where local farmers gather to discuss specific agricultural problems and solutions. It is necessary because it allows for direct interaction between farmers and agricultural officers in a familiar environment.


Through these meetings, farmers receive timely advice on seeds, fertilizers, and pest control. It fosters a sense of community, encourages women's participation in agriculture, and helps in the rapid dissemination of new technologies at the grassroots level.","Figure-2 shows an eggplant (brinjal) plant, which represents the Horticulture sector of agriculture. Horticulture deals with the intensive cultivation of fruits, vegetables, flowers, spices, and plantation crops.


Vegetables like eggplant are essential components of horticulture that provide vital vitamins and minerals. Unlike field crops, horticultural crops are usually grown on a smaller scale but require more intensive care and labor per unit of land.


In the context of Bangladesh, this sector is crucial for nutritional security and self-employment. The cultivation of such crops contributes significantly to the daily food basket of the population and offers high profit margins for small-scale farmers.","Figure-1 represents Jute, which is known as the ""Golden Fiber"" of Bangladesh. In the context of our economy, jute plays a multifaceted role ranging from foreign exchange earnings to environmental sustainability.


Foreign Exchange Earner: Jute is one of the primary export commodities of Bangladesh. Raw jute and jute goods (like sacks, carpets, and handicrafts) are exported to various countries, contributing a significant portion to the national GDP and strengthening the country's foreign reserve.


Employment Generation: The jute sector provides a livelihood for millions. From the farmers who cultivate it to the laborers working in jute mills and the artisans creating jute products, it supports a vast value chain that sustains the rural and urban economy alike.


Industrial Raw Material: Jute serves as a versatile raw material for domestic industries. It is used for making eco-friendly packaging materials, textiles, and even high-end automobile components. As the world moves away from plastic, the demand for jute as a biodegradable alternative is increasing.


Environmental and Soil Benefits: Beyond direct cash, jute cultivation improves soil fertility by shedding leaves that act as organic manure. It also absorbs a high amount of carbon dioxide. Therefore, its economic importance is intertwined with its ecological value, making it an indispensable asset for the sustainable development of Bangladesh."
2023,Agriculture 1st Paper,Agriculture Information and Services,Dhaka Board,Board,Observe the two images below and answer the questions: [Image-1: A courtyard meeting/Uthan Boithok; Image-2: Farmers using a laptop/digital device],"""C:\Users\BMTF\.antigravity\testpaper\Agri1_Ch_Cq_Image\agri1_Ch1_CQ4.png""",What is a field crop?,Why is social forestry important for environmental conservation? Explain.,How do farmers in Image-1 receive agricultural information and services? Explain.,"Between Image-1 and Image-2, which one will be more effective in the context of Bangladesh? Give arguments in favor of your opinion.","Field crops are those crops that are grown on a large scale in open fields, usually for commercial or subsistence purposes, such as rice, wheat, or jute.","Social forestry is crucial because it involves the participation of local communities in planting and managing trees on fallow lands, roadsides, and around homes. This helps restore ecological balance, prevents soil erosion, and increases the country's total forest cover.


Furthermore, social forestry contributes to biodiversity conservation and mitigates the effects of climate change by acting as a carbon sink. It also provides fuel, fodder, and timber for rural people, reducing the pressure on natural reserve forests and ensuring environmental sustainability.","Image-1 represents a ""Courtyard Meeting"" (Uthan Boithok), which is a group-based extension method used by agricultural officers to provide information and services directly to farmers in their own locality.


In this method, the Sub-Assistant Agriculture Officer (SAAO) or an expert gathers 15-20 male and female farmers at a convenient time and place, usually a farmer's house. They discuss specific seasonal problems, new crop varieties, and modern farming techniques. The service is delivered through face-to-face communication, making it highly interactive.


This approach allows farmers to ask questions immediately and clear any doubts regarding fertilizer application or pest management. It is a powerful tool for community-level awareness and encourages the adoption of modern agricultural practices through collective learning and shared experiences.","In the current context of ""Smart Bangladesh,"" Image-2 (e-Agriculture/Digital Agriculture) is likely to be more effective in the long run, although both have their specific merits. e-Agriculture allows for the rapid, accurate, and widespread dissemination of information compared to traditional meetings.


Speed and Accessibility: While a courtyard meeting (Image-1) is limited to a specific time and a small group of people, digital platforms (Image-2) can reach thousands of farmers instantly. Through the internet, apps, or call centers (like 16123), farmers can get expert solutions 24/7 without waiting for a physical visit from an officer.


Precision and Visual Learning: Digital media can provide high-quality videos and tutorials on complex agricultural tasks, such as integrated pest management or the use of modern machinery. Farmers can see ""how-to"" guides repeatedly until they master the technique, which is often more effective than just hearing a lecture during a meeting.


Overcoming Geographical Barriers: In remote or disaster-prone areas where physical movement is difficult, digital services are the only reliable way to get weather forecasts and market prices. This helps farmers make proactive decisions to save their crops and get better prices for their produce, making it a more powerful tool for economic empowerment.


Conclusion: While courtyard meetings are essential for building trust and community bonds, the scalability and efficiency of e-Agriculture make it more effective for modernizing the agricultural sector. As smartphone and internet penetration grow in rural Bangladesh, digital services will become the primary driver for achieving food security and agricultural prosperity."
2023,Agriculture 1st Paper,Scope and Importance of Agriculture,Dhaka Board,Board,"The image shows a flowchart of Agricultural Sectors. Under ""Agricultural Sector,"" it branches into: Crop-1 (Field Crops) and Crop-2 (Horticultural Crops).","""C:\Users\BMTF\.antigravity\testpaper\Agri1_Ch_Cq_Image\agri1_Ch1_CQ5.png""",What is a courtyard meeting?,Explain the necessity of agricultural education.,Describe the characteristics of Crop-2 in light of the stem.,"Between Crop-1 and Crop-2, which one is more profitable from an economic perspective? Give arguments in favor of your answer.",A courtyard meeting (Uthan Boithok) is an informal group discussion held at a farmer's house where local farmers and agricultural officers gather to solve specific farming problems.,"Agricultural education is essential for transforming traditional farming into a modern, scientific, and profitable sector. It provides farmers with the knowledge of high-yielding varieties, modern machinery, and sustainable soil management, which are crucial for ensuring national food security.


Furthermore, agricultural education helps in climate change adaptation and professionalizing the sector. By understanding the science behind crop cycles and pest management, farmers can reduce production costs and increase yields, ultimately improving their socio-economic status and the country's economy.","Crop-2 in the stem refers to Horticultural Crops. These crops include fruits, vegetables, flowers, spices, and ornamental plants, which are typically grown with intensive care on a smaller scale compared to field crops.


Intensive Management: One of the primary characteristics of horticultural crops is that they require individual attention. Unlike field crops, each plant often needs specific pruning, irrigation, and pest management. They are usually grown in fenced areas or kitchen gardens for better protection.


Perishability and Value: Most horticultural crops are highly perishable and have a high moisture content, requiring quick marketing or processing. However, they yield a much higher market price per unit of land than field crops, making them high-value crops that contribute significantly to the nutritional needs of the population.","From an economic perspective, Crop-2 (Horticultural Crops) is generally considered more profitable than Crop-1 (Field Crops) due to several factors related to market value and land productivity.


Higher Market Value: Horticultural crops like fruits, flowers, and off-season vegetables command a much higher price in the market compared to staple field crops like rice or wheat. Because they are often considered high-value commodities, even a small plot of land can generate a substantial income for a farmer throughout the year.


Year-round Production: While many field crops are seasonal and occupy the land for a long duration, horticultural crops allow for multiple cropping and intensive use of land. A farmer can grow various vegetables and spices in quick succession, ensuring a constant flow of cash and reducing the risk associated with a single major harvest.


Employment and Industry: The cultivation of horticultural crops is labor-intensive, providing more employment opportunities per acre. Additionally, these crops are the primary raw materials for the food processing and export industries. Exporting flowers or processed fruits earns significantly more foreign exchange than staple grains.


Conclusion: While Crop-1 is vital for basic food security (caloric needs), Crop-2 is the driver of economic prosperity for individual farmers. For a country like Bangladesh with limited land, focusing on high-value horticultural crops is the most effective way to maximize profit and improve the rural economy."
2023,Agriculture 1st Paper,Soil and Soil Reactions,Dhaka Board,Board,"Observe the chart below and answer the questions. The chart shows a pH scale from 1 to 14. Soil 'A' covers the acidic range (below 7), Soil 'B' covers the slightly acidic to slightly alkaline range (5.5 - 8.0), and Soil 'C' covers the alkaline range (above 8).","""C:\Users\BMTF\.antigravity\testpaper\Agri1_Ch_Cq_Image\agri1_Ch1_CQ6.png""",What is green manure?,How does crop rotation maintain soil fertility? Explain.,What type of soil is indicated by 'C' in the stem? Explain.,Which types of crops grow well in the soil marked 'A' in the stem? Give your opinion.,Green manure refers to the organic fertilizer created by growing specific plants (like Dhaincha or Sunn hemp) and then plowing them back into the soil while they are still green to improve soil fertility.,"Crop rotation is a systematic approach to planting different types of crops in a specific order on the same piece of land. It maintains soil fertility by ensuring that the same nutrients are not exhausted repeatedly by the same type of crop year after year.


By including leguminous crops (like pulses) in the rotation, nitrogen is naturally fixed in the soil through root nodules. Furthermore, different crops have different rooting depths, which prevents the depletion of nutrients from a single soil layer and breaks the life cycle of pests and diseases, keeping the soil healthy and productive.","The soil marked 'C' in the stem is Alkaline Soil (Khariyo Matit). This is because it is positioned on the pH scale in the range greater than 7.0, specifically extending toward 14.


Alkaline soil is characterized by a high concentration of basic cations like Calcium, Magnesium, and Sodium. In Bangladesh, such soils are often found in coastal regions where salt accumulation is high. These soils typically have poor physical structure and low availability of essential micronutrients like Iron, Manganese, and Boron.


Crops grown in 'C' type soil often suffer from nutrient deficiencies. To manage this soil for agriculture, farmers often need to apply gypsum or organic matter to lower the pH and improve the soil's chemical balance, making it more suitable for cultivation.","The soil marked 'A' in the stem is Acidic Soil, as it falls within the pH range of 1.0 to 6.0. In my opinion, only specific acid-tolerant crops can thrive in this environment because high acidity often makes essential nutrients unavailable while increasing the toxicity of Aluminum and Manganese.


Tea and Coffee Cultivation: Acidic soil is ideal for tea and coffee. In Bangladesh, the hilly regions of Sylhet and Chittagong have naturally acidic soil, which is why tea estates are concentrated there. Tea plants prefer a pH range of 4.5 to 5.5 to grow optimally and produce high-quality leaves.


Fruit Production: Certain fruits like pineapple and lemons grow exceptionally well in 'A' type soil. These plants are adapted to acidic conditions and can efficiently absorb nutrients that would otherwise be locked up in neutral or alkaline soils. Pineapple cultivation in Madhupur and hilly areas is a primary example of using acidic soil productively.


Root Crops and Others: Some root crops like potatoes and certain varieties of rice (like Jhum rice) can tolerate moderate acidity. However, for most common field crops, the acidity must be neutralized using lime (dolomite) to bring the pH closer to the 'B' range shown in the stem.


Conclusion: While 'A' type soil is challenging for general agriculture, it is highly valuable for specialized cash crops. By choosing the right crops—specifically tea, pineapple, and citrus fruits—farmers can achieve high productivity and economic success even in acidic conditions."
2023,Agriculture 1st Paper,Scope and Importance of Agriculture,Barisal Board,Board,"Observe the chart below and answer the questions. The chart shows a central node 'A' connected to various sectors: Fisheries (মৎস্য), Field Crops (মাঠ ফসল), Livestock (গবাদিপশু), Poultry (পোল্ট্রি), a question mark '?', and Horticultural Crops (উদ্যান ফসল).","""C:\Users\BMTF\.antigravity\testpaper\Agri1_Ch_Cq_Image\agri1_Ch1_CQ7.png""",What is an industrial crop?,Explain the necessity of agricultural education.,What is indicated by the 'A' sign in the chart? Explain.,Analyze the importance of the '?' indicated in the chart.,"Industrial crops are those crops that are primarily grown to be used as raw materials in industries for manufacturing finished products, such as jute, sugarcane, and cotton.","Agricultural education is essential for modernizing the traditional farming sector of Bangladesh by introducing scientific methods and advanced technologies. It equips farmers and professionals with the knowledge of high-yielding varieties, pest management, and soil conservation, which are fundamental to achieving food security.


Furthermore, agricultural education promotes the development of skilled manpower who can lead the nation toward commercial agriculture. It helps in understanding market dynamics and climate change adaptation, ensuring that agriculture remains a profitable and sustainable profession for the growing population.","The 'A' sign in the chart indicates Agriculture (কৃষি) as a whole. In a broad sense, agriculture is not just about growing crops; it is a multi-sectoral field that encompasses several specialized branches that work together to meet human needs.



As shown in the stem, 'A' acts as the core or the source from which all other branches originate. It includes plant production (crops), animal husbandry (livestock and poultry), and the management of aquatic resources (fisheries). These sectors are interconnected and collectively form the backbone of the agrarian economy.


Therefore, 'A' represents the primary production sector that utilizes natural resources like land and water to produce food, fiber, and fuel. Understanding 'A' as a unified system helps in integrated farming, where the waste of one sector (like livestock manure) can be used as a resource for another (like crop fertilizer).","The '?' indicated in the chart refers to Forestry (বনায়ন), which is one of the vital branches of agriculture. Forestry involves the management, conservation, and creation of forests to provide timber, protect the environment, and support biodiversity.


Economic Importance: Forestry is a major source of timber, fuel, and raw materials for industries like paper, matches, and furniture. In rural Bangladesh, trees planted around homesteads and on fallow lands provide significant financial security for families, acting as a ""living bank"" that can be harvested in times of need.


Environmental Protection: Forests play a critical role in maintaining the ecological balance by absorbing carbon dioxide and releasing oxygen. They prevent soil erosion, protect against natural disasters like cyclones and floods, and help maintain the hydrological cycle. For a disaster-prone country like Bangladesh, the forestry sector is a natural shield.


Livelihood and Biodiversity: A large number of people depend on forest products like honey, wax, and medicinal plants for their livelihood. Additionally, forests provide a natural habitat for various wildlife species, ensuring the survival of the country's unique flora and fauna.


Conclusion: While the other sectors in the chart focus primarily on food production, the forestry sector ('?') ensures the sustainability of the entire agricultural system. Without a healthy forest ecosystem, crop production and livestock health would be severely compromised by climate instability, making forestry an indispensable part of the agricultural framework."
2022,Agriculture 1st Paper,Scope and Importance of Agriculture,Dhaka Board,Board,"The image shows a flowchart of Agricultural Sectors. Under ""Agricultural Sector,"" it branches into: Crop-1 (Rice, Jute, Wheat, Mustard) and Crop-2 (Eggplant, Tomato, Gourd, Guava).","""C:\Users\BMTF\.antigravity\testpaper\Agri1_Ch_Cq_Image\agri1_Ch1_CQ8.png""",What is the Internet?,Why is an experienced farmer important? Explain.,Which field of agriculture does Crop-1 in the chart represent? Explain.,"Between Crop-1 and Crop-2 mentioned in the chart, which one is more profitable to cultivate? Show arguments in favor of your answer.",The Internet is a global network of interconnected computers that allows for the rapid exchange of information and communication worldwide.,"An experienced farmer (pioneer farmer) is crucial because they possess practical, time-tested knowledge of local soil, weather patterns, and traditional farming techniques. They act as a bridge between modern agricultural research and the local farming community, making it easier for others to adopt new technologies.


Their success serves as a living demonstration for other farmers. Because they have faced and overcome various agricultural challenges over the years, their advice is highly trusted, and they play a vital role in ensuring food security at the grassroots level.","Crop-1 in the chart represents the Field Crops (মাঠ ফসল) sector of agriculture. This is evident from the examples provided: rice, jute, wheat, and mustard, which are typically grown on a large scale in open fields.


Field crops are characterized by being grown collectively rather than individually. They are usually seasonal crops that cover vast areas of land and require less intensive individual care per plant compared to horticultural crops. These crops form the staple food supply and provide major industrial raw materials for the country.


In the context of Bangladesh, this sector is the most vital for national food security. Most field crops have a definite growing season and are harvested all at once. They are generally less perishable than horticultural crops, allowing them to be stored and transported over long distances to meet the caloric needs of the entire population.","Between Crop-1 (Field Crops) and Crop-2 (Horticultural Crops), Crop-2 is generally more profitable from a commercial and economic standpoint.


Higher Economic Value: Horticultural crops such as eggplant, tomato, and guava have a much higher market price per unit of production compared to staple field crops like rice or wheat. Since these are often considered high-value nutritional products, they provide a better return on investment for small-scale farmers.


Intensive Land Use: Field crops usually occupy the land for a long duration for a single harvest. In contrast, many horticultural crops have shorter life cycles or can be grown in multi-cropping systems. This allows farmers to utilize the same piece of land multiple times a year, ensuring a continuous flow of income rather than a one-time seasonal payout.


Nutritional and Industrial Demand: There is a constant and growing demand for fresh vegetables and fruits in urban markets. Additionally, these crops are the primary raw materials for the burgeoning food processing industry. Exporting high-quality horticultural products like guava or off-season tomatoes earns significantly more profit and foreign exchange than exporting raw grains.


Conclusion: While Crop-1 is indispensable for basic survival and food security, Crop-2 is the key to economic empowerment and poverty alleviation. For a land-scarce country like Bangladesh, shifting toward high-value horticultural cultivation is a more strategic and profitable approach for improving the socio-economic status of rural farmers."
